"date","cases","deaths","daily.cases","daily.deaths"
2020-11-04,9577697,234226,108080,1616
2020-11-05,9699030,235334,121333,1108
2020-11-06,9831853,236582,132823,1248
2020-11-07,9957785,237589,125932,1007
2020-11-08,10061201,238053,103416,464
2020-11-09,10191642,238798,130441,745
2020-11-10,10331392,240262,139750,1464
2020-11-11,10474277,241693,142885,1431
2020-11-12,10637917,242865,163640,1172
2020-11-13,10819414,244255,181497,1390
2020-11-14,10978447,245465,159033,1210
2020-11-15,11113634,246088,135187,623
2020-11-16,11280194,246884,166560,796
2020-11-17,11441833,248491,161639,1607
2020-11-18,11614116,250415,172283,1924
2020-11-19,11801631,252376,187515,1961
2020-11-20,12000512,254333,198881,1957
2020-11-21,12172457,255758,171945,1425
2020-11-22,12313295,256601,140838,843
2020-11-23,12493028,257639,179733,1038
2020-11-24,12670931,259848,177903,2209
2020-11-25,12851603,262161,180672,2313
2020-11-26,12954496,263339,102893,1178
2020-11-27,13160382,264751,205886,1412
2020-11-28,13311528,265943,151146,1192
2020-11-29,13447900,266761,136372,818
2020-11-30,13615739,268031,167839,1270
2020-12-01,13799999,270639,184260,2608
2020-12-02,14001210,273525,201211,2886
2020-12-03,14218973,276381,217763,2856
2020-12-04,14450360,279018,231387,2637
2020-12-05,14656033,281208,205673,2190
2020-12-06,14828141,282319,172108,1111
2020-12-07,15032433,283853,204292,1534
2020-12-08,15252314,286674,219881,2821
2020-12-09,15472050,289830,219736,3156
2020-12-10,15697271,292771,225221,2941
2020-12-11,15977838,295726,280567,2955
2020-12-12,16185267,297981,207429,2255
2020-12-13,16369491,299338,184224,1357
2020-12-14,16570615,301016,201124,1678
2020-12-15,16773586,304041,202971,3025
2020-12-16,17018628,307652,245042,3611
2020-12-17,17257055,310950,238427,3298
2020-12-18,17508278,313820,251223,2870
2020-12-19,17702197,316381,193919,2561
2020-12-20,17882143,317810,179946,1429
2020-12-21,18083756,319773,201613,1963
2020-12-22,18285416,323012,201660,3239
2020-12-23,18513204,326424,227788,3412
2020-12-24,18706752,329248,193548,2824
2020-12-25,18807725,330377,100973,1129
2020-12-26,19024581,332023,216856,1646
2020-12-27,19176674,333253,152093,1230
2020-12-28,19365727,335152,189053,1899
2020-12-29,19566819,338780,201092,3628
2020-12-30,19795855,342588,229036,3808
2020-12-31,20026877,346050,231022,3462
2021-01-01,20174150,347970,147273,1920
2021-01-02,20465532,350343,291382,2373
2021-01-03,20667499,351694,201967,1351
2021-01-04,20919448,353743,251949,2049
2021-01-05,21154475,357432,235027,3689
2021-01-06,21410474,361396,255999,3964
2021-01-07,21690778,365507,280304,4111
2021-01-08,21991447,369402,300669,3895
2021-01-09,22243548,372663,252101,3261
2021-01-10,22451857,374440,208309,1777
2021-01-11,22679873,376488,228016,2048
2021-01-12,22909703,380894,229830,4406
2021-01-13,23139117,384824,229414,3930
2021-01-14,23377849,388804,238732,3980
2021-01-15,23618820,392553,240971,3749
2021-01-16,23820341,395894,201521,3341
2021-01-17,23989827,397624,169486,1730
2021-01-18,24132320,399065,142493,1441
2021-01-19,24318005,401836,185685,2771
2021-01-20,24504921,406216,186916,4380
2021-01-21,24695191,410351,190270,4135
2021-01-22,24887106,414082,191915,3731
2021-01-23,25054931,417404,167825,3322
2021-01-24,25184350,419219,129419,1815
2021-01-25,25340358,421126,156008,1907
2021-01-26,25492063,425223,151705,4097
2021-01-27,25647812,429326,155749,4103
2021-01-28,25813099,433194,165287,3868
2021-01-29,25978829,436794,165730,3600
2021-01-30,26112633,439435,133804,2641
2021-01-31,26226087,441299,113454,1864
2021-02-01,26366205,443249,140118,1950
2021-02-02,26484115,446860,117910,3611
2021-02-03,26604355,450703,120240,3843
2021-02-04,26730274,455820,125919,5117
2021-02-05,26859879,459390,129605,3570
2021-02-06,26964834,462052,104955,2662
2021-02-07,27052116,463353,87282,1301
2021-02-08,27145182,464936,93066,1583
2021-02-09,27241673,468106,96491,3170
2021-02-10,27336672,471360,94999,3254
2021-02-11,27442344,475238,105672,3878
2021-02-12,27541997,480701,99653,5463
2021-02-13,27626687,484073,84690,3372
2021-02-14,27690482,485154,63795,1081
2021-02-15,27745804,486148,55322,994
2021-02-16,27810426,487855,64622,1707
2021-02-17,27880636,490326,70210,2471
2021-02-18,27952516,492951,71880,2625
2021-02-19,28030615,495572,78099,2621
2021-02-20,28100359,497403,69744,1831
2021-02-21,28155556,498650,55197,1247
2021-02-22,28215087,500104,59531,1454
2021-02-23,28287032,502432,71945,2328
2021-02-24,28361221,505642,74189,3210
2021-02-25,28439075,508107,77854,2465
2021-02-26,28517373,510283,78298,2176
2021-02-27,28580074,511850,62701,1567
2021-02-28,28630999,512979,50925,1129
2021-03-01,28687745,514404,56746,1425
2021-03-02,28745562,515710,57817,1306
2021-03-03,28812302,518079,66740,2369
2021-03-04,28879699,520028,67397,1949
2021-03-05,28945483,522511,65784,2483
2021-03-06,29002069,523970,56586,1459
2021-03-07,29042198,524646,40129,676
2021-03-08,29136703,525466,94505,820
2021-03-09,29192684,527351,55981,1885
2021-03-10,29251009,528825,58325,1474
2021-03-11,29313542,530349,62533,1524
2021-03-12,29377887,532054,64345,1705
2021-03-13,29427467,533927,49580,1873
2021-03-14,29465473,534496,38006,569
2021-03-15,29522684,535245,57211,749
2021-03-16,29577328,536490,54644,1245
2021-03-17,29636284,537667,58956,1177
2021-03-18,29696901,539225,60617,1558
2021-03-19,29757623,540739,60722,1514
2021-03-20,29812043,541511,54420,772
2021-03-21,29846260,541959,34217,448
2021-03-22,29901118,542607,54858,648
2021-03-23,29957986,543500,56868,893
2021-03-24,30037900,545090,79914,1590
2021-03-25,30107220,546360,69320,1270
2021-03-26,30181868,547620,74648,1260
2021-03-27,30242560,548400,60692,780
2021-03-28,30287086,548890,44526,490
2021-03-29,30357885,549575,70799,685
2021-03-30,30420249,550522,62364,947
2021-03-31,30488335,551657,68086,1135
2021-04-01,30565647,552614,77312,957
2021-04-02,30634224,553570,68577,956
2021-04-03,30698302,554323,64078,753
2021-04-04,30735137,554595,36835,272
2021-04-05,30811990,555125,76853,530
2021-04-06,30874010,556034,62020,909
2021-04-07,30947200,558605,73190,2571
2021-04-08,31027825,559607,80625,1002
2021-04-09,31109411,560553,81586,946
2021-04-10,31174128,561257,64717,704
2021-04-11,31222159,561558,48031,301
2021-04-12,31294410,562023,72251,465
2021-04-13,31371856,563006,77446,983
2021-04-14,31447721,563941,75865,935
2021-04-15,31521485,564858,73764,917
2021-04-16,31599934,565793,78449,935
2021-04-17,31653665,566470,53731,677
2021-04-18,31695230,566828,41565,358
2021-04-19,31765720,567313,70490,485
2021-04-20,31826472,568148,60752,835
2021-04-21,31889346,568985,62874,837
2021-04-22,31955703,569896,66357,911
2021-04-23,32019455,570769,63752,873
2021-04-24,32070030,571494,50575,725
2021-04-25,32103692,571776,33662,282
2021-04-26,32151155,572255,47463,479
2021-04-27,32203160,572968,52005,713
2021-04-28,32258045,573897,54885,929
2021-04-29,32316020,574774,57975,877
2021-04-30,32374308,575632,58288,858
2021-05-01,32418991,576334,44683,702
2021-05-02,32448664,576635,29673,301
2021-05-03,32498647,577120,49983,485
2021-05-04,32539178,578010,40531,890
2021-05-05,32584435,578804,45257,794
2021-05-06,32632099,579634,47664,830
2021-05-07,32679707,580446,47608,812
